  iq    is           q(1)            q(2)            q(3)            q(4)            q(5)
   1    1             0.5             0.5             0.5        0.866025               0
   2    1            0.48            0.48            0.48        0.831384            0.02
   3    1            0.46            0.46            0.46        0.796743            0.04
   4    1            0.44            0.44            0.44        0.762102            0.06
   5    1            0.42            0.42            0.42        0.727461            0.08
   6    1             0.4             0.4             0.4         0.69282             0.1
   7    1            0.38            0.38            0.38        0.658179            0.12
   8    1            0.36            0.36            0.36        0.623538            0.14
   9    1            0.34            0.34            0.34        0.588897            0.16
  10    1            0.32            0.32            0.32        0.554256            0.18
  11    1             0.3             0.3             0.3        0.519615             0.2
  12    1            0.28            0.28            0.28        0.484974            0.22
  13    1            0.26            0.26            0.26        0.450333            0.24
  14    1            0.24            0.24            0.24        0.415692            0.26
  15    1            0.22            0.22            0.22        0.381051            0.28
  16    1             0.2             0.2             0.2         0.34641             0.3
  17    1            0.18            0.18            0.18        0.311769            0.32
  18    1            0.16            0.16            0.16        0.277128            0.34
  19    1            0.14            0.14            0.14        0.242487            0.36
  20    1            0.12            0.12            0.12        0.207846            0.38
  21    1             0.1             0.1             0.1        0.173205             0.4
  22    1            0.08            0.08            0.08        0.138564            0.42
  23    1            0.06            0.06            0.06        0.103923            0.44
  24    1            0.04            0.04            0.04        0.069282            0.46
  25    1            0.02            0.02            0.02        0.034641            0.48
  26    1               0               0               0               0             0.5
  27    2               0               0               0               0             0.5
  28    2            0.02               0               0            0.02            0.52
  29    2            0.04               0               0            0.04            0.54
  30    2            0.06               0               0            0.06            0.56
  31    2            0.08               0               0            0.08            0.58
  32    2             0.1               0               0             0.1             0.6
  33    2            0.12               0               0            0.12            0.62
  34    2            0.14               0               0            0.14            0.64
  35    2            0.16               0               0            0.16            0.66
  36    2            0.18               0               0            0.18            0.68
  37    2             0.2               0               0             0.2             0.7
  38    2            0.22               0               0            0.22            0.72
  39    2            0.24               0               0            0.24            0.74
  40    2            0.26               0               0            0.26            0.76
  41    2            0.28               0               0            0.28            0.78
  42    2             0.3               0               0             0.3             0.8
  43    2            0.32               0               0            0.32            0.82
  44    2            0.34               0               0            0.34            0.84
  45    2            0.36               0               0            0.36            0.86
  46    2            0.38               0               0            0.38            0.88
  47    2             0.4               0               0             0.4             0.9
  48    2            0.42               0               0            0.42            0.92
  49    2            0.44               0               0            0.44            0.94
  50    2            0.46               0               0            0.46            0.96
  51    2            0.48               0               0            0.48            0.98
  52    2             0.5               0               0             0.5               1
  53    2            0.52               0               0            0.52            1.02
  54    2            0.54               0               0            0.54            1.04
  55    2            0.56               0               0            0.56            1.06
  56    2            0.58               0               0            0.58            1.08
  57    2             0.6               0               0             0.6             1.1
  58    2            0.62               0               0            0.62            1.12
  59    2            0.64               0               0            0.64            1.14
  60    2            0.66               0               0            0.66            1.16
  61    2            0.68               0               0            0.68            1.18
  62    2             0.7               0               0             0.7             1.2
  63    2            0.72               0               0            0.72            1.22
  64    2            0.74               0               0            0.74            1.24
  65    2            0.76               0               0            0.76            1.26
  66    2            0.78               0               0            0.78            1.28
  67    2             0.8               0               0             0.8             1.3
  68    2            0.82               0               0            0.82            1.32
  69    2            0.84               0               0            0.84            1.34
  70    2            0.86               0               0            0.86            1.36
  71    2            0.88               0               0            0.88            1.38
  72    2             0.9               0               0             0.9             1.4
  73    2            0.92               0               0            0.92            1.42
  74    2            0.94               0               0            0.94            1.44
  75    2            0.96               0               0            0.96            1.46
  76    2            0.98               0               0            0.98            1.48
  77    2               1               0               0               1             1.5
  78    3               1               1               0         1.41421             1.5
  79    3            0.98            0.98               0         1.38593            1.52
  80    3            0.96            0.96               0         1.35765            1.54
  81    3            0.94            0.94               0         1.32936            1.56
  82    3            0.92            0.92               0         1.30108            1.58
  83    3             0.9             0.9               0         1.27279             1.6
  84    3            0.88            0.88               0         1.24451            1.62
  85    3            0.86            0.86               0         1.21622            1.64
  86    3            0.84            0.84               0         1.18794            1.66
  87    3            0.82            0.82               0         1.15966            1.68
  88    3             0.8             0.8               0         1.13137             1.7
  89    3            0.78            0.78               0         1.10309            1.72
  90    3            0.76            0.76               0          1.0748            1.74
  91    3            0.75            0.75               0         1.06066            1.75
  92    4            0.75            0.75               0         1.06066            1.75
  93    4            0.73            0.73               0         1.03238            1.77
  94    4            0.71            0.71               0         1.00409            1.79
  95    4            0.69            0.69               0        0.975807            1.81
  96    4            0.67            0.67               0        0.947523            1.83
  97    4            0.65            0.65               0        0.919239            1.85
  98    4            0.63            0.63               0        0.890955            1.87
  99    4            0.61            0.61               0         0.86267            1.89
 100    4            0.59            0.59               0        0.834386            1.91
 101    4            0.57            0.57               0        0.806102            1.93
 102    4            0.55            0.55               0        0.777817            1.95
 103    4            0.53            0.53               0        0.749533            1.97
 104    4            0.51            0.51               0        0.721249            1.99
 105    4            0.49            0.49               0        0.692965            2.01
 106    4            0.47            0.47               0         0.66468            2.03
 107    4            0.45            0.45               0        0.636396            2.05
 108    4            0.43            0.43               0        0.608112            2.07
 109    4            0.41            0.41               0        0.579828            2.09
 110    4            0.39            0.39               0        0.551543            2.11
 111    4            0.37            0.37               0        0.523259            2.13
 112    4            0.35            0.35               0        0.494975            2.15
 113    4            0.33            0.33               0         0.46669            2.17
 114    4            0.31            0.31               0        0.438406            2.19
 115    4            0.29            0.29               0        0.410122            2.21
 116    4            0.27            0.27               0        0.381838            2.23
 117    4            0.25            0.25               0        0.353553            2.25
 118    4            0.23            0.23               0        0.325269            2.27
 119    4            0.21            0.21               0        0.296985            2.29
 120    4            0.19            0.19               0        0.268701            2.31
 121    4            0.17            0.17               0        0.240416            2.33
 122    4            0.15            0.15               0        0.212132            2.35
 123    4            0.13            0.13               0        0.183848            2.37
 124    4            0.11            0.11               0        0.155563            2.39
 125    4            0.09            0.09               0        0.127279            2.41
 126    4            0.07            0.07               0       0.0989949            2.43
 127    4            0.05            0.05               0       0.0707107            2.45
 128    4            0.03            0.03               0       0.0424264            2.47
 129    4            0.01            0.01               0       0.0141421            2.49
 130    4               0               0               0               0             2.5
